ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp
2017-07-24 05:41:22+00:00,"iOS 10.3.2 (iPhone9,4)",4829,US,Secrets,The Weeknd,Starboy,spotify:track:00NAQYOP4AmWR549nnYJZu,clickrow,logout,False,False,False,
2017-07-24 05:43:08+00:00,"iOS 10.3.2 (iPhone9,4)",34039,US,Oh Lord,NF,Therapy Session,spotify:track:1ISsiC4Fw6f96kZQegLGiJ,trackdone,fwdbtn,True,False,False,
2017-07-24 05:47:30+00:00,"iOS 10.3.2 (iPhone9,4)",263040,US,Real,NF,Therapy Session,spotify:track:0ZFayEwoO5qqYjsOi8YDjO,fwdbtn,trackdone,True,False,False,
2017-07-24 05:50:49+00:00,"iOS 10.3.2 (iPhone9,4)",195933,US,Intro 2,NF,Therapy Session,spotify:track:6nonTdcZbN2pmyiN032MXw,trackdone,trackdone,True,False,False,
2017-08-03 21:42:36+00:00,"iOS 10.3.2 (iPhone9,4)",106,US,Lucky Enough,Jez Dior,Youthanasia - EP,spotify:track:7oCFai1AxaGrmsZh55eEBK,trackdone,logout,True,False,False,
2017-08-03 21:46:39+00:00,"iOS 10.3.2 (iPhone9,4)",174009,US,Young Dumb & Broke REMIX (feat. Rae Sremmurd & Lil Yachty),Khalid,Young Dumb & Broke REMIX (feat. Rae Sremmurd & Lil Yachty),spotify:track:6LxEtvMKSwmPdd5Fh1PCof,trackdone,fwdbtn,True,False,False,
2017-08-22 00:55:42+00:00,"iOS 10.3.3 (iPhone9,4)",10518,US,Windup Your Waist Gal,Khalid,No Coast Records,spotify:track:6DiFPfsaKRnAON0d6RK3Dm,fwdbtn,unexpected-exit-while-paused,True,False,False,
2017-08-22 03:36:51+00:00,"iOS 10.3.3 (iPhone9,4)",224145,US,Intro 2,NF,Therapy Session,spotify:track:6nonTdcZbN2pmyiN032MXw,clickrow,trackdone,False,False,False,
2017-08-22 03:42:23+00:00,"iOS 10.3.3 (iPhone9,4)",331480,US,Therapy Session,NF,Therapy Session,spotify:track:6WKk8l8EXiwPBYlmSlhZWx,trackdone,trackdone,False,False,False,
2017-08-22 03:46:09+00:00,"iOS 10.3.3 (iPhone9,4)",226306,US,I Just Wanna Know,NF,Therapy Session,spotify:track:141K1xJ176S0U6PPkc4Nee,trackdone,trackdone,False,False,False,
2017-08-22 03:51:31+00:00,"iOS 10.3.3 (iPhone9,4)",322586,US,How Could You Leave Us,NF,Therapy Session,spotify:track:10bt2wAkFgCWRCEOyAyWT9,trackdone,trackdone,False,False,False,
2017-08-22 03:55:50+00:00,"iOS 10.3.3 (iPhone9,4)",259106,US,Breathe,NF,Therapy Session,spotify:track:4Jtn7b3hgyzSQKj9ZMiht3,trackdone,trackdone,False,False,False,
2017-08-22 04:00:13+00:00,"iOS 10.3.3 (iPhone9,4)",263040,US,Real,NF,Therapy Session,spotify:track:0ZFayEwoO5qqYjsOi8YDjO,trackdone,trackdone,False,False,False,
2017-08-22 04:03:32+00:00,"iOS 10.3.3 (iPhone9,4)",198253,US,Oh Lord,NF,Therapy Session,spotify:track:1ISsiC4Fw6f96kZQegLGiJ,trackdone,trackdone,False,False,False,
2017-08-22 04:07:25+00:00,"iOS 10.3.3 (iPhone9,4)",233573,US,I Can Feel It,NF,Therapy Session,spotify:track:7n1UFPbFnAwIBsV14BC17A,trackdone,trackdone,False,False,False,
2017-08-22 04:11:27+00:00,"iOS 10.3.3 (iPhone9,4)",241160,US,Got You On My Mind,NF,Therapy Session,spotify:track:3XeB1bCs6NSaLKmTkVbx6R,trackdone,trackdone,False,False,False,
2017-08-22 04:16:04+00:00,"iOS 10.3.3 (iPhone9,4)",277293,US,Grindin',NF,Therapy Session,spotify:track:3m6HMeFX6GIlGPMBcLEN6t,trackdone,trackdone,False,False,False,
2017-08-22 04:20:50+00:00,"iOS 10.3.3 (iPhone9,4)",286266,US,Wish You Wouldn't,NF,Therapy Session,spotify:track:0lOMLHxg0Fz70i2BE5o334,trackdone,trackdone,False,False,False,
2017-08-22 04:24:01+00:00,"iOS 10.3.3 (iPhone9,4)",190920,US,Statement,NF,Therapy Session,spotify:track:3cNmoc8vvy0T0m65PLdNEU,trackdone,trackdone,False,False,False,
2017-08-22 04:27:49+00:00,"iOS 10.3.3 (iPhone9,4)",228493,US,All I Do,NF,Therapy Session,spotify:track:7nuBN1pCPvpOFBn6CZ4bun,trackdone,trackdone,False,False,False,
2017-08-22 04:31:52+00:00,"iOS 10.3.3 (iPhone9,4)",242680,US,Lost In The Moment,NF,Therapy Session,spotify:track:3qEg6xYffvuvwpq4U6FRrK,trackdone,trackdone,False,False,False,
2017-08-22 04:35:22+00:00,"iOS 10.3.3 (iPhone9,4)",209431,US,Outro,NF,Outro,spotify:track:0uT76p9kwJBjjdstjTOQHe,clickrow,trackdone,False,False,False,
2017-08-22 04:38:00+00:00,"iOS 10.3.3 (iPhone9,4)",156937,US,SAY LESS,Magic & Bird,Andy Mineo and Wordsplayed Present Magic & Bird,spotify:track:5puxRTcOyESEkPxBu20GRq,trackdone,trackdone,False,False,False,
2017-08-22 04:41:29+00:00,"iOS 10.3.3 (iPhone9,4)",209264,US,Move Too Fast,Phora,Move Too Fast,spotify:track:6dKFrcFzZmlB5YmfuZ7pVi,trackdone,trackdone,False,False,False,
2017-08-22 04:45:54+00:00,"iOS 10.3.3 (iPhone9,4)",264375,US,My Mistake (feat. Trippz Michaud),Witt Lowry,Dreaming With Our Eyes Open,spotify:track:66IUwGyMUbK0OH1XFvSrCh,trackdone,trackdone,False,False,False,
2017-08-22 04:50:25+00:00,"iOS 10.3.3 (iPhone9,4)",270453,US,Paralyzed,NF,Mansion,spotify:track:5DHQKZCOZhGNTbYBCekWx0,trackdone,trackdone,False,False,False,
2017-08-22 04:53:45+00:00,"iOS 10.3.3 (iPhone9,4)",199111,US,Change The World (feat. Hollyn),Derek Minor,Reflection,spotify:track:5Kbv0KKeXCNSU28WUrdvoT,trackdone,trackdone,False,False,False,
2017-08-22 04:57:14+00:00,"iOS 10.3.3 (iPhone9,4)",208705,US,KIDZ,Andy Mineo,KIDZ,spotify:track:0qcVrswjBym2yIkjPqJM3j,trackdone,trackdone,False,False,False,
2017-08-22 05:00:57+00:00,"iOS 10.3.3 (iPhone9,4)",222240,US,DANCE (You See It),Magic & Bird,Andy Mineo and Wordsplayed Present Magic & Bird,spotify:track:7CngUawX6DgPRLBPLvkvUH,trackdone,trackdone,False,False,False,
2017-08-22 05:04:09+00:00,"iOS 10.3.3 (iPhone9,4)",191960,US,Live for the Drop,Capital Kings,II,spotify:track:3hfDl12AHis9jgRi5wMqFo,trackdone,trackdone,False,False,False,
2017-08-22 05:07:48+00:00,"iOS 10.3.3 (iPhone9,4)",218507,US,Tourist,Witt Lowry,Dreaming With Our Eyes Open,spotify:track:0NIboN7iVLUM33gBwF0eTe,trackdone,trackdone,False,False,False,
2017-08-22 05:11:27+00:00,"iOS 10.3.3 (iPhone9,4)",218600,US,Notepad,NF,Mansion,spotify:track:2QpFbRlnBo2TRhy5FyldSD,trackdone,trackdone,False,False,False,
2017-08-22 05:16:07+00:00,"iOS 10.3.3 (iPhone9,4)",279599,US,Feel It,TobyMac,This Is Not A Test,spotify:track:7Fu8J4ddQBl9zf1tUbXrMc,trackdone,trackdone,False,False,False,
2017-08-22 05:19:52+00:00,"iOS 10.3.3 (iPhone9,4)",224563,US,All I Need Is You,Lecrae,Anomaly,spotify:track:7tmn5vxGo2lYaDwZm9jwtk,trackdone,trackdone,False,False,False,
2017-08-22 05:24:13+00:00,"iOS 10.3.3 (iPhone9,4)",259790,US,Heroin,Jez Dior,The Funeral - EP,spotify:track:7JxtHwJgzJJ44xV3TJtY7x,trackdone,trackdone,False,False,False,
2017-08-22 05:30:19+00:00,"iOS 10.3.3 (iPhone9,4)",366144,US,In a Perfect World,Phora,With Love,spotify:track:6S6VuEUbhLnNedRxLIomO7,trackdone,trackdone,False,False,False,
2017-08-22 05:35:15+00:00,"iOS 10.3.3 (iPhone9,4)",294819,US,Kindest Regards,Witt Lowry,Kindest Regards,spotify:track:67HRSCGK3ZQIxb3Spr1cHQ,trackdone,trackdone,False,False,False,
2017-08-22 05:38:16+00:00,"iOS 10.3.3 (iPhone9,4)",180506,US,Warm Up,NF,Warm Up,spotify:track:7Gr8gb3hqKr4zEbFlrVYPQ,trackdone,trackdone,False,False,False,
2017-08-22 05:42:14+00:00,"iOS 10.3.3 (iPhone9,4)",238386,US,Impossible,Manafest,Glory,spotify:track:473xAny4InLJTlWnUNEwZq,trackdone,trackdone,False,False,False,
2017-08-22 05:46:41+00:00,"iOS 10.3.3 (iPhone9,4)",266546,US,City On Our Knees,TobyMac,Tonight,spotify:track:5QZunYrvUrJs3Mzrjl7fKV,trackdone,trackdone,False,False,False,
2017-08-22 05:50:10+00:00,"iOS 10.3.3 (iPhone9,4)",207997,US,Facts,Phora,Yours Truly Forever,spotify:track:6Gw1Ke0vN571pOtnEoZyPh,trackdone,trackdone,False,False,False,
2017-08-22 05:55:05+00:00,"iOS 10.3.3 (iPhone9,4)",294320,US,Thing Called Love,NF,NF,spotify:track:239VFYzJLnwfZbh6Fz29wY,trackdone,trackdone,False,False,False,
